# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_pT
ScaledBy=2.68025073517944293e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.339059e+06	1.196245e+05	1.196245e+05
1.000000e+00	2.000000e+00	1.261058e+07	1.838465e+05	1.838465e+05
2.000000e+00	3.000000e+00	1.753420e+07	2.167857e+05	2.167857e+05
3.000000e+00	4.000000e+00	2.105337e+07	2.375464e+05	2.375464e+05
4.000000e+00	5.000000e+00	2.315201e+07	2.491048e+05	2.491048e+05
5.000000e+00	6.000000e+00	2.390516e+07	2.531241e+05	2.531241e+05
6.000000e+00	7.000000e+00	2.316005e+07	2.491480e+05	2.491480e+05
7.000000e+00	8.000000e+00	2.215495e+07	2.436818e+05	2.436818e+05
8.000000e+00	9.000000e+00	2.042351e+07	2.339661e+05	2.339661e+05
9.000000e+00	1.000000e+01	1.793624e+07	2.192569e+05	2.192569e+05
1.000000e+01	1.100000e+01	1.570091e+07	2.051399e+05	2.051399e+05
1.100000e+01	1.200000e+01	1.357815e+07	1.907691e+05	1.907691e+05
1.200000e+01	1.300000e+01	1.171538e+07	1.772009e+05	1.772009e+05
1.300000e+01	1.400000e+01	1.030556e+07	1.661972e+05	1.661972e+05
1.400000e+01	1.500000e+01	8.874310e+06	1.542251e+05	1.542251e+05
1.500000e+01	1.600000e+01	7.748605e+06	1.441118e+05	1.441118e+05
1.600000e+01	1.700000e+01	6.180658e+06	1.287078e+05	1.287078e+05
1.700000e+01	1.800000e+01	5.805423e+06	1.247397e+05	1.247397e+05
1.800000e+01	1.900000e+01	4.543025e+06	1.103470e+05	1.103470e+05
1.900000e+01	2.000000e+01	3.615658e+06	9.844222e+04	9.844222e+04
2.000000e+01	2.100000e+01	3.344953e+06	9.468534e+04	9.468534e+04
2.100000e+01	2.200000e+01	2.715094e+06	8.530611e+04	8.530611e+04
2.200000e+01	2.300000e+01	2.414906e+06	8.045218e+04	8.045218e+04
2.300000e+01	2.400000e+01	2.002147e+06	7.325474e+04	7.325474e+04
2.400000e+01	2.500000e+01	1.653715e+06	6.657605e+04	6.657605e+04
2.500000e+01	2.600000e+01	1.476818e+06	6.291457e+04	6.291457e+04
2.600000e+01	2.700000e+01	1.160549e+06	5.577240e+04	5.577240e+04
2.700000e+01	2.800000e+01	1.050658e+06	5.306626e+04	5.306626e+04
2.800000e+01	2.900000e+01	9.112852e+05	4.942138e+04	4.942138e+04
2.900000e+01	3.000000e+01	7.665517e+05	4.532716e+04	4.532716e+04
3.000000e+01	3.100000e+01	6.781034e+05	4.263200e+04	4.263200e+04
3.100000e+01	3.200000e+01	5.923354e+05	3.984479e+04	3.984479e+04
3.200000e+01	3.300000e+01	5.119279e+05	3.704180e+04	3.704180e+04
3.300000e+01	3.400000e+01	3.993574e+05	3.271663e+04	3.271663e+04
3.400000e+01	3.500000e+01	4.556426e+05	3.494619e+04	3.494619e+04
3.500000e+01	3.600000e+01	3.243103e+05	2.948276e+04	2.948276e+04
3.600000e+01	3.700000e+01	2.894671e+05	2.785398e+04	2.785398e+04
3.700000e+01	3.800000e+01	2.841066e+05	2.759487e+04	2.759487e+04
3.800000e+01	3.900000e+01	2.465831e+05	2.570806e+04	2.570806e+04
3.900000e+01	4.000000e+01	1.742163e+05	2.160887e+04	2.160887e+04
4.000000e+01	4.100000e+01	1.474138e+05	1.987727e+04	1.987727e+04
4.100000e+01	4.200000e+01	1.527743e+05	2.023545e+04	2.023545e+04
4.200000e+01	4.300000e+01	1.366928e+05	1.914082e+04	1.914082e+04
4.300000e+01	4.400000e+01	1.634953e+05	2.093343e+04	2.093343e+04
4.400000e+01	4.500000e+01	1.045298e+05	1.673816e+04	1.673816e+04
4.500000e+01	4.600000e+01	1.045298e+05	1.673816e+04	1.673816e+04
4.600000e+01	4.700000e+01	8.576802e+04	1.516179e+04	1.516179e+04
4.700000e+01	4.800000e+01	9.648903e+04	1.608150e+04	1.608150e+04
4.800000e+01	4.900000e+01	5.092476e+04	1.168294e+04	1.168294e+04
4.900000e+01	5.000000e+01	9.112852e+04	1.562841e+04	1.562841e+04
5.000000e+01	5.100000e+01	4.556426e+04	1.105095e+04	1.105095e+04
5.100000e+01	5.200000e+01	5.360501e+04	1.198645e+04	1.198645e+04
5.200000e+01	5.300000e+01	6.164577e+04	1.285403e+04	1.285403e+04
5.300000e+01	5.400000e+01	3.752351e+04	1.002858e+04	1.002858e+04
5.400000e+01	5.500000e+01	4.288401e+04	1.072100e+04	1.072100e+04
5.500000e+01	5.600000e+01	4.288401e+04	1.072100e+04	1.072100e+04
5.600000e+01	5.700000e+01	6.164577e+04	1.285403e+04	1.285403e+04
5.700000e+01	5.800000e+01	3.752351e+04	1.002858e+04	1.002858e+04
5.800000e+01	5.900000e+01	3.216301e+04	9.284661e+03	9.284661e+03
5.900000e+01	6.000000e+01	2.680251e+04	8.475697e+03	8.475697e+03
6.000000e+01	6.100000e+01	1.608150e+04	6.565246e+03	6.565246e+03
6.100000e+01	6.200000e+01	3.484326e+04	9.663781e+03	9.663781e+03
6.200000e+01	6.300000e+01	1.876176e+04	7.091277e+03	7.091277e+03
6.300000e+01	6.400000e+01	2.144201e+04	7.580894e+03	7.580894e+03
6.400000e+01	6.500000e+01	1.340125e+04	5.993223e+03	5.993223e+03
6.500000e+01	6.600000e+01	1.072100e+04	5.360502e+03	5.360502e+03
